                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7075,                 4.4783,                 1.8928,                0.00067,                0.11111,                0.00038,                0.00015,                 2.5476,                 5.0034,                 2.2928,                0.00012,                0.00012,                0.00012
                      2,                 2.1153,                 4.0278,                 1.6242,                0.00222,                0.37037,                0.00229,                 0.0009,                 1.9081,                 4.4523,                 1.7724,              0.0002497,              0.0002497,              0.0002497
                      3,                 1.6551,                 2.7126,                 1.2412,                0.00422,                 0.7037,                0.01072,                 0.0046,                 1.7329,                 4.1032,                 1.5681,             0.00036832,             0.00036832,             0.00036832
                      4,                 1.5049,                 2.1212,                 1.1731,                0.00356,                0.59259,                0.00515,                0.00204,                  1.838,                 4.3809,                 1.7175,             0.00047585,             0.00047585,             0.00047585
                      5,                 1.5872,                 2.2251,                 1.2884,                0.00222,                0.37037,                0.04356,                0.01409,                 1.8064,                 4.5716,                 1.8175,             0.00057229,             0.00057229,             0.00057229
                      6,                 1.3243,                 1.5236,                 1.1672,                0.00311,                0.51852,                0.05328,                0.01997,                 1.8075,                 4.3271,                 1.7272,             0.00065764,             0.00065764,             0.00065764
                      7,                 1.4296,                 1.8175,                  1.185,                0.00267,                0.44444,                0.07723,                0.04191,                 1.8575,                 4.2831,                 1.8106,              0.0007319,              0.0007319,              0.0007319
                      8,                 1.3118,                 1.5796,                 1.1806,                0.00222,                0.37037,                0.12366,                0.08075,                 1.8319,                 4.2446,                 1.7779,             0.00079508,             0.00079508,             0.00079508
                      9,                 1.3844,                 1.4772,                  1.128,                0.00289,                0.48148,                0.08006,                0.04661,                 1.7181,                 4.2421,                 1.7561,             0.00084717,             0.00084717,             0.00084717
                     10,                 1.3785,                 1.4779,                 1.1304,                 0.5193,                0.03704,                0.07471,                 0.0467,                 1.7406,                 4.0159,                 1.6943,             0.00088817,             0.00088817,             0.00088817
                     11,                 1.3293,                 1.3666,                 1.1273,                0.81219,                 0.1617,                0.25308,                0.14905,                 1.6624,                 3.4494,                 1.4148,             0.00091808,             0.00091808,             0.00091808
                     12,                 1.3352,                 1.3765,                 1.1486,                0.90221,                0.25926,                0.53701,                0.29767,                   1.75,                 3.3304,                 1.4172,              0.0009369,              0.0009369,              0.0009369
                     13,                 1.2895,                 1.5308,                 1.1711,                0.95573,                0.33333,                 0.5085,                0.29198,                 1.7527,                 3.2546,                 1.4426,             0.00094464,             0.00094464,             0.00094464
                     14,                 1.3006,                 1.3172,                 1.1557,                0.50886,                0.25926,                0.31257,                0.18949,                 1.8313,                  3.505,                 1.6159,             0.00094129,             0.00094129,             0.00094129
                     15,                 1.2217,                  1.341,                 1.0641,                      1,                0.23635,                0.49214,                0.29311,                 1.7208,                 3.3175,                  1.456,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.2139,                 1.2432,                 1.0955,                0.94001,                0.33333,                0.50369,                0.31796,                 1.6618,                 2.9779,                 1.3836,               0.000812,               0.000812,               0.000812
                     17,                 1.2168,                 1.2291,                 1.0775,                0.75086,                0.33499,                0.51893,                0.32761,                 1.6742,                 2.8996,                 1.3744,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.1866,                 1.2005,                 1.0514,                0.73652,                0.37037,                0.51124,                0.32876,                 1.6872,                 2.8436,                 1.3764,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.2024,                 1.1363,                  1.133,                0.87721,                0.37037,                0.55595,                0.34626,                 1.7058,                 2.6901,                 1.4015,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.2385,                 1.2742,                 1.1349,                0.92756,                0.47463,                0.66499,                0.38655,                 1.7027,                 2.4917,                 1.3841,              0.0004952,              0.0004952,              0.0004952
                     21,                  1.281,                 1.2452,                 1.0774,                0.87285,                0.50898,                0.70127,                0.38751,                 1.7059,                 2.4011,                 1.3814,               0.000416,               0.000416,               0.000416
                     22,                 1.0619,                 1.0334,                 1.0273,                0.84204,                0.66667,                0.76531,                 0.4213,                 1.6721,                 2.1352,                 1.3231,              0.0003368,              0.0003368,              0.0003368
                     23,                0.99647,                 1.0151,                 1.0009,                0.81559,                0.66667,                0.76821,                0.41753,                 1.6354,                 1.9432,                 1.3038,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.1446,                0.99726,                 1.0841,                0.85972,                0.68137,                0.77962,                 0.4276,                 1.6299,                 1.7604,                 1.3063,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.0371,                 1.0497,                 0.9956,                0.85631,                 0.7037,                0.78735,                 0.4257,                  1.632,                 1.6826,                  1.303,               9.92e-05,               9.92e-05,               9.92e-05
