                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7137,                  3.973,                 3.9573,                 1.8076,                0.00019,                0.02041,                 0.0001,                  4e-05,                0.00074,                0.08163,                0.00048,                0.00014,                 2.9414,                 3.2735,                 4.1535,                 2.0987,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.4019,                 3.9873,                 3.8972,                 1.7289,                0.00019,                0.02041,                 0.0001,                  3e-05,                0.00075,                0.08163,                0.00047,                0.00015,                 2.9555,                  3.239,                 4.1581,                    2.1,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                 2.6981,                 3.7084,                 3.9133,                 1.8723,                0.00241,                0.28571,                0.00202,                0.00106,                 0.0031,                0.36735,                0.00277,                0.00113,                 1.8738,                 2.6623,                 3.9439,                 1.4531,             0.00014733,             0.00014733,             0.00014733
                      4,                 2.0385,                 2.9566,                  3.588,                 1.4986,                0.00382,                0.46939,                0.00875,                0.00356,                0.00481,                0.59184,                0.01133,                0.00421,                 1.6901,                 2.5313,                 3.7279,                 1.2752,             0.00019386,             0.00019386,             0.00019386
                      5,                 1.7287,                 2.8548,                 3.2276,                 1.2903,                0.00738,                0.93878,                0.01762,                0.00724,                0.00706,                0.89796,                0.02254,                0.00788,                 1.5115,                  2.533,                 3.5862,                 1.1672,             0.00023565,             0.00023565,             0.00023565
                      6,                 1.7802,                 2.7205,                 2.8194,                 1.3231,                0.00684,                0.97959,                0.01989,                0.00895,                0.00684,                0.97959,                  0.026,                0.00951,                 1.5417,                 2.2906,                  3.427,                 1.1651,             0.00027268,             0.00027268,             0.00027268
                      7,                 1.6733,                 2.6761,                  2.479,                 1.1821,                0.00577,                      1,                 0.0236,                0.01051,                0.00565,                0.97959,                0.03125,                0.01083,                 1.5061,                 2.2318,                 3.2071,                 1.1137,             0.00030496,             0.00030496,             0.00030496
                      8,                 1.6433,                 2.4796,                  2.154,                  1.167,                0.00541,                      1,                0.04952,                  0.028,                0.00541,                      1,                0.05901,                0.02981,                  1.383,                 2.2542,                 3.0763,                 1.0838,             0.00033249,             0.00033249,             0.00033249
                      9,                 1.7323,                 2.4107,                 2.0149,                 1.1971,                0.00519,                      1,                0.30204,                0.12891,                0.00508,                0.97959,                0.34498,                0.15236,                 1.4675,                  2.341,                 2.8963,                 1.0902,             0.00035526,             0.00035526,             0.00035526
                     10,                 1.6045,                 2.3357,                 1.8296,                 1.1569,                0.00528,                      1,                0.31939,                 0.1589,                0.00517,                0.97959,                0.36681,                0.15644,                 1.4588,                 2.6256,                 2.8126,                 1.0467,             0.00037329,             0.00037329,             0.00037329
                     11,                 1.6111,                 2.2517,                 1.8496,                 1.1591,                0.00597,                      1,                 0.2665,                0.17708,                0.00584,                0.97959,                0.29789,                 0.1534,                 1.2816,                 2.4957,                 2.8197,                 1.0609,             0.00038656,             0.00038656,             0.00038656
                     12,                  1.555,                 2.1185,                 1.7491,                 1.1159,                0.00621,                0.97959,                0.21106,                0.13392,                0.00595,                0.93878,                0.22329,                 0.1134,                 1.2732,                 2.3145,                  2.867,                 1.0956,             0.00039508,             0.00039508,             0.00039508
                     13,                 1.4737,                 2.2755,                 1.5971,                 1.0735,                0.00657,                0.97959,                0.21012,                0.12944,                0.00657,                0.97959,                0.24912,                 0.1137,                 1.3225,                 2.4417,                 2.8242,                 1.0841,             0.00039885,             0.00039885,             0.00039885
                     14,                  1.393,                 1.9488,                 1.8144,                 1.0861,                0.00665,                0.97959,                0.24904,                0.16756,                0.00665,                0.97959,                0.29606,                0.12349,                 1.2195,                 2.4533,                 2.7891,                  1.055,             0.00039786,             0.00039786,             0.00039786
                     15,                 1.4737,                 2.0557,                 1.6801,                 1.0989,                0.69843,                0.28571,                0.34689,                0.24902,                0.84809,                0.34694,                0.44877,                0.19506,                  1.112,                 1.9217,                 2.6322,                 1.0166,             0.00039213,             0.00039213,             0.00039213
                     16,                 1.2543,                 1.9414,                 1.5813,                 1.0816,                0.73281,                0.08163,                0.37775,                0.25883,                 0.8168,                0.09192,                0.45868,                0.20718,                 1.1244,                 1.7996,                 2.5506,                 1.0277,             0.00038164,             0.00038164,             0.00038164
                     17,                 1.0815,                  2.001,                 1.5624,                 1.0293,                0.61473,                0.06573,                 0.4383,                0.29693,                0.84136,                0.10892,                 0.5746,                0.27211,                 1.0925,                 1.7302,                 2.4433,                  1.045,              0.0003664,              0.0003664,              0.0003664
